Nombre de jours >30 °C/Région,01- Bas-St-Laurent,02-Saguenay-Lac-St-Jean,03-Capitale-Nationale,04- Mauricie,05 - Estrie,06 - Montréal,07- Outaouais,08 - Abitbi-Témiscamingue,09- Côte-Nord,10 - Nord-du-Québec,11- Gaspésie - Îles de la Madeleine,12-Chaudière-Appalaches,14-Lanaudière,15- Laurentides,16- Montérégie,17 - Centre-du-Québec
2000,0,0.062,0,0.108,0.038,1.136,0.023,0.54,,,0.005,0,1052.485,0.024,0.889,0.07
2001,1.531,2.069,2.766,5.942,5.296,24.409,13.405,11.251,,,1.183,4.303,919.769,9.328,18.345,10.108
2002,2.258,3.581,4.186,7.672,08.07,17.182,13.539,7.134,,,1.201,7.723,886.032,9.59,16.498,11.981
2003,2.195,3.734,3.036,4.704,2.873,11.591,6.866,4.547,,,1.256,4.137,1141.767,5.815,7.817,4.841
2004,0.08,0.04,0.125,0.044,0.117,3.136,0.952,0.868,,,0.13,0.315,903.077,0.361,2.217,1.217
2005,2.205,6.708,2.211,11.258,4.211,23.909,19.026,15.689,,,1.881,4.232,1064.361,13.758,18.834,10.433
2006,1.169,1.069,1.28,3.067,3.052,8.545,6.743,6.492,,,0.671,2.707,1267.303,4.621,7.647,5.089
2007,1.715,5.027,1.349,6.101,3.399,15.227,9.13,8,,,0.692,2.341,1023.301,6.524,12.902,6.58
2008,0.004,0.424,0.176,0.815,2.052,6.818,0.755,0.001,,,0.103,0.997,1227.824,0.874,6.094,3.478
2009,0.076,01.02,0.435,2.154,0.911,5.818,4.101,2.333,,,0.148,1.156,961.48,2.7,6.464,2.694
2010,1.311,3.063,4.023,9.19,6.549,14.955,13.279,8.736,,,0.612,7.462,1019.027,10.905,14.157,11.236
2011,0.004,0.049,0.44,1.483,1.85,12.773,6.16,3.122,,,0,1.121,1100.126,3.5,12.4,5.299
2012,2.068,2.29,2.333,6.585,5.62,18,14.952,9.13,,,1.016,6.64,1013.639,8.722,17.089,11.261
2013,1.765,1.161,1.802,3.286,3.282,7.955,6.539,3.871,,,1.815,2.838,1035.062,4.145,9.46,5.65
Prévisions moyennes  à partir de 2014,1.879,2.298,1.537,4.469,3.733,15.04,8.451,5.628,,,0.601,3.578,1047.02,5.731,12.861,8.058
2015,1.949,2.376,1.583,4.621,3.893,15.464,8.699,5.814,,,0.626,3.718,1048.484,5.92,13.239,8.331
2016,2.022,2.458,1.633,4.778,4.061,15.898,8.954,6.006,,,0.654,3.864,1049.966,6.115,13.626,8.612
2017,2.1,2.543,1.686,4.94,4.235,16.343,9.218,6.204,,,0.685,4.017,1051.467,6.318,14.024,8.901
2018,2.183,2.632,1.742,5.109,4.417,16.797,9.489,6.409,,,0.718,4.176,1052.985,6.528,14.431,9.2
2019,2.271,2.725,1.802,5.283,4.607,17.262,9.768,6.62,,,0.754,4.343,1054.52,6.745,14.848,9.507
2020,2.363,2.822,1.866,5.464,4.804,17.737,10.055,6.837,,,0.794,4.517,1056.072,6.97,15.275,9.822
2021,2.46,2.922,1.934,5.651,5.009,18.222,10.35,7.061,,,0.836,4.698,1057.639,7.202,15.713,10.147
2022,2.563,3.027,2.006,5.844,5.221,18.717,10.653,7.291,,,0.882,4.887,1059.222,7.442,16.16,10.481
2023,2.671,3.136,2.083,6.043,5.442,19.223,10.964,7.529,,,0.932,5.083,1060.819,7.689,16.618,10.824
2024,2.785,3.249,2.163,6.249,5.671,19.739,11.284,7.772,,,0.985,5.287,1062.431,7.945,17.086,11.176
2025,2.904,3.367,2.248,6.461,5.908,20.265,11.611,8.023,,,1.041,5.5,1064.056,8.208,17.564,11.538
2026,3.028,3.489,2.338,6.681,6.154,20.801,11.948,8.281,,,1.102,5.72,1065.694,8.48,18.052,11.909
2027,3.159,3.615,2.432,6.906,6.408,21.347,12.293,8.546,,,1.166,5.949,1067.345,8.76,18.551,12.29
2028,3.296,3.746,2.531,7.139,6.672,21.904,12.646,8.817,,,1.234,6.186,1069.007,9.048,19.06,12.681
2029,3.439,3.882,2.636,7.379,6.944,22.471,13.008,9.097,,,1.306,6.431,1070.681,9.345,19.579,13.081
2030,3.588,4.023,2.745,7.625,7.225,23.048,13.379,9.383,,,1.382,6.686,1072.365,9.651,20.109,13.491
2031,3.744,4.168,2.859,7.879,7.516,23.636,13.759,9.677,,,1.463,6.95,1074.059,9.965,20.65,13.912
2032,3.906,4.319,2.979,8.14,7.816,24.234,14.148,9.978,,,1.548,7.222,1075.763,10.288,21.201,14.342
2033,4.075,4.474,3.105,8.409,8.125,24.842,14.545,10.287,,,1.638,7.504,1077.476,10.62,21.763,14.783
2034,4.251,4.635,3.236,8.684,8.445,25.461,14.952,10.604,,,1.732,7.795,1079.198,10.962,22.335,15.234
2035,4.434,4.801,3.373,8.968,8.774,26.09,15.368,10.928,,,1.831,8.096,1080.927,11.312,22.918,15.695
